term	FBbt	reference
CL168	FBbt:20000873	
CL169	FBbt:20000874	
CL170	FBbt:20000875	
CL171	FBbt:20000876	
CL172	FBbt:20000877	
CL173	FBbt:20000878	
CL174	FBbt:20000879	
CL175	FBbt:20000880	
CL176	FBbt:20000881	
CL177	FBbt:20000882	
CL178	FBbt:20000883	
CL179	FBbt:20000884	
CL180	FBbt:20000885	
CL181	FBbt:20000886	
CL182	FBbt:20000887	
CL183	FBbt:20000888	
CL184	FBbt:20000889	
CL185	FBbt:20000890	
CL186	FBbt:20000891	
CL187	FBbt:20000892	
CL188	FBbt:20000893	
CL189	FBbt:20000894	
