term	alps_release	FBbt	reference
alpha/betas KC	MB Paper 2014	FBbt:00110930	FlyBase:FBrf0227179
alpha/betap KC	MB Paper 2014	FBbt:00110931	FlyBase:FBrf0227179
gammad KC	MB Paper 2014	FBbt:00110932	FlyBase:FBrf0227179
PAM-beta2	MB Paper 2014	FBbt:00110993	FlyBase:FBrf0227179
PAM-beta1	MB Paper 2014	FBbt:00110994	FlyBase:FBrf0227179
MBON-gamma4>gamma1gamma2	MB Paper 2014	FBbt:00111004	FlyBase:FBrf0227179
MBON-alpha1	MB Paper 2014	FBbt:00111005	FlyBase:FBrf0227179
MBON-gamma3	MB Paper 2014	FBbt:00111006	FlyBase:FBrf0227179
MBON-gamma3beta'1	MB Paper 2014	FBbt:00111007	FlyBase:FBrf0227179
MBON-beta'1	MB Paper 2014	FBbt:00111008	FlyBase:FBrf0227179
MBON-gamma2alpha'1	MB Paper 2014	FBbt:00111009	FlyBase:FBrf0227179
MBON-alpha'1	MB Paper 2014	FBbt:00111010	FlyBase:FBrf0227179
MBON-alpha2p3p	MB Paper 2014	FBbt:00111011	FlyBase:FBrf0227179
MBON-beta2beta'2a	MB Paper 2014	FBbt:00111012	FlyBase:FBrf0227179
MBON-beta'2mp_bilateral	MB Paper 2014	FBbt:00111014	FlyBase:FBrf0227179
PAM-gamma5	MB Paper 2014	FBbt:00111015	FlyBase:FBrf0227179
PAM-beta'2a	MB Paper 2014	FBbt:00111016	FlyBase:FBrf0227179
PAM-beta'2p	MB Paper 2014	FBbt:00111017	FlyBase:FBrf0227179
PAM-beta'2m	MB Paper 2014	FBbt:00111018	FlyBase:FBrf0227179
PAM-gamma4<gamma1gamma2	MB Paper 2014	FBbt:00111019	FlyBase:FBrf0227179
PAM-gamma4	MB Paper 2014	FBbt:00111020	FlyBase:FBrf0227179
PAM-beta1ped	MB Paper 2014	FBbt:00111021	FlyBase:FBrf0227179
PAM-alpha1	MB Paper 2014	FBbt:00111022	FlyBase:FBrf0227179
PAM-beta'1 ap	MB Paper 2014	FBbt:00111023	FlyBase:FBrf0227179
PAM-beta'1 m	MB Paper 2014	FBbt:00111024	FlyBase:FBrf0227179
gammamain KC	MB Paper 2014	FBbt:00111061	FlyBase:FBrf0227179
MBON-alpha'3ap	MB Paper 2014	FBbt:00111063	FlyBase:FBrf0227179
MBON-alpha'3m	MB Paper 2014	FBbt:00111064	FlyBase:FBrf0227179
LPi4-3	LPLC2_paper	FBbt:00111288	
LC10b	LC Paper	FBbt:00111745	
LC10c	LC Paper	FBbt:00111746	
LC10a	LC Paper	FBbt:00111747	
LC10d	LC Paper	FBbt:00111748	
LC15	LC Paper	FBbt:00111750	
LC16	LC Paper	FBbt:00111751	
LC17	LC Paper	FBbt:00111752	
LC18	LC Paper	FBbt:00111753	
LC20	LC Paper	FBbt:00111755	
LC21	LC Paper	FBbt:00111756	
LC22	LC Paper	FBbt:00111757	
LC24	LC Paper	FBbt:00111759	
LC25	LC Paper	FBbt:00111760	
LC26	LC Paper	FBbt:00111761	
LPLC1	LC Paper	FBbt:00111762	
LPLC2	LC Paper	FBbt:00111763	
DNd01		FBbt:00047590	FlyBase:FBrf0239335
DNd02		FBbt:00047591	FlyBase:FBrf0239335
DNd03		FBbt:00047592	FlyBase:FBrf0239335
DNa01		FBbt:00047572	FlyBase:FBrf0239335
DNa02		FBbt:00047573	FlyBase:FBrf0239335
DNa03		FBbt:00047574	FlyBase:FBrf0239335
DNa04		FBbt:00047575	FlyBase:FBrf0239335
DNa05		FBbt:00047576	FlyBase:FBrf0239335
DNa06		FBbt:00047577	FlyBase:FBrf0239335
DNa07		FBbt:00047578	FlyBase:FBrf0239335
DNa08		FBbt:00047579	FlyBase:FBrf0239335
DNa09		FBbt:00047580	FlyBase:FBrf0239335
DNa10		FBbt:00047581	FlyBase:FBrf0239335
DNb01		FBbt:00047582	FlyBase:FBrf0239335
DNb02		FBbt:00047583	FlyBase:FBrf0239335
DNb03		FBbt:00047584	FlyBase:FBrf0239335
