np_type	FBbt_id	FBbt_name	pub	comment	notes	notes_2
M_l2PNl22	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_l2PNl23	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_l2PNm14	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_l2PNm15	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_l2PNm16	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_l2PNm17	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lPNm11A	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lPNm11B	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lPNm11C	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lPNm11D	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lPNm12	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lPNm13	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lv2PN9t49	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm24	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm25	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm26	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm27	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm28	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm29	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm30	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm31	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm32	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm33	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm34	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
