ID	CLASS_TYPE	RDF_Type	Symbol	ref1	Synonym_gr	ref2	Synonym_en	ref3
FBbt:00049390	subclass	owl:Class	LHPV4a7		LHPV4a7			
FBbt:00049391	subclass	owl:Class	LHPV4a8		LHPV4a8			
FBbt:00049392	subclass	owl:Class	LHPV4a9		LHPV4a9			
FBbt:00049396	subclass	owl:Class	LHPV4b1		LHPV4b1			
FBbt:00049397	subclass	owl:Class	LHPV4b2		LHPV4b2			
FBbt:00049398	subclass	owl:Class	LHPV4b3		LHPV4b3			
FBbt:00049399	subclass	owl:Class	LHPV4c1		LHPV4c1			
FBbt:00049400	subclass	owl:Class	LHPV4c2		LHPV4c2			
FBbt:00049401	subclass	owl:Class	LHPV4c3		LHPV4c3			
FBbt:00049402	subclass	owl:Class	LHPV4d1		LHPV4d1			
FBbt:00049403	subclass	owl:Class	LHPV4d2		LHPV4d2			
FBbt:00049404	subclass	owl:Class	LHPV4d3		LHPV4d3			
FBbt:00049405	subclass	owl:Class	LHPV4d4		LHPV4d4			
FBbt:00049425	subclass	owl:Class	LHPV4e1		LHPV4e1			
FBbt:00049406	subclass	owl:Class	LHPV4f1		LHPV4f1			
FBbt:00049407	subclass	owl:Class	LHPV5a1		LHPV5a1			
FBbt:00049408	subclass	owl:Class	LHPV5a2		LHPV5a2			
FBbt:00049409	subclass	owl:Class	LHPV5a3		LHPV5a3			
FBbt:00049410	subclass	owl:Class	LHPV5b1		LHPV5b1			
FBbt:00049411	subclass	owl:Class	LHPV5b2		LHPV5b2			
FBbt:00049412	subclass	owl:Class	LHPV5b3		LHPV5b3			
FBbt:00049413	subclass	owl:Class	LHPV5c1		LHPV5c1			
FBbt:00049414	subclass	owl:Class	LHPV5c2		LHPV5c2			
FBbt:00049415	subclass	owl:Class	LHPV5c3		LHPV5c3			
FBbt:00049416	subclass	owl:Class	LHPV5d1		LHPV5d1			
FBbt:00049417	subclass	owl:Class	LHPV5g1		LHPV5g1			
FBbt:00049418	subclass	owl:Class	LHPV5g2		LHPV5g2			
FBbt:00049420	subclass	owl:Class	LHPV6a1		LHPV6a1			
FBbt:00049421	subclass	owl:Class	LHPV6a3		LHPV6a3			
